Year,Number of newly funded AI companies,Geographic area
2013,27,China
2014,43,China
2015,72,China
2016,69,China
2017,92,China
2018,205,China
2019,217,China
2020,192,China
2021,260,China
2022,147,China
2023,122,China
2013,53,European Union and United Kingdom
2014,78,European Union and United Kingdom
2015,90,European Union and United Kingdom
2016,117,European Union and United Kingdom
2017,170,European Union and United Kingdom
2018,225,European Union and United Kingdom
2019,224,European Union and United Kingdom
2020,246,European Union and United Kingdom
2021,346,European Union and United Kingdom
2022,275,European Union and United Kingdom
2023,368,European Union and United Kingdom
2013,337,United States
2014,352,United States
2015,292,United States
2016,402,United States
2017,510,United States
2018,516,United States
2019,496,United States
2020,547,United States
2021,662,United States
2022,504,United States
2023,897,United States
